unit_id,period,treated_group,outcome
0,0,0,51.936852546089014
1,0,0,51.595487959507125
2,0,1,53.4103461104225
3,0,1,47.44738898672771
4,0,0,40.687937568107046
5,0,0,33.3072506907426
6,0,0,53.648746840418845
7,0,0,44.252885285516
8,0,1,48.54781774825291
9,0,0,46.205124333882665
10,0,0,50.2859253137515
11,0,1,55.73504437629322
12,0,0,52.591531610454744
13,0,1,51.046756317077
14,0,1,54.23224266676022
15,0,1,60.83172970640758
16,0,0,57.73434617979291
17,0,1,54.99082143773605
18,0,1,61.585979530988745
19,0,0,49.84502089890148
20,0,0,57.64502817732982
21,0,1,42.38406697882132
22,0,0,54.42966274700623
23,0,0,46.91705661002076
24,0,1,61.90438542923391
25,0,1,36.02971998356053
26,0,0,53.73568393472708
27,0,1,50.3604600557476
28,0,0,52.5503672883812
29,0,1,59.6069155823688
30,0,0,54.64593856095493
31,0,0,59.46036922436792
32,0,1,49.54435826817099
33,0,1,57.96755077907094
34,0,0,55.494054395675086
35,0,1,50.10490600468397
36,0,0,56.45722034135579
37,0,1,49.879693825812986
38,0,1,46.859101702943654
39,0,0,52.56326261133963
40,0,1,38.22448077319828
41,0,1,42.68386361582677
42,0,1,46.336519810351156
43,0,1,50.404078384695254
44,0,0,49.72242062086307
45,0,1,43.78985461307225
46,0,1,46.375035352496575
47,0,0,42.37163770071862
48,0,1,46.307863151394606
49,0,0,40.692203654737725
50,0,0,52.55328764731985
51,0,0,39.020115908507684
52,0,1,41.43940551820018
53,0,0,55.20652102453996
54,0,1,53.654927373298996
55,0,0,52.00490138294426
56,0,1,47.913351526102396
57,0,0,55.7485593716134
58,0,1,46.77634444684008
59,0,0,51.500901257245836
60,0,0,51.435194044754375
61,0,1,49.33634050574331
62,0,1,42.686726810070326
63,0,1,43.527517819830656
64,0,1,55.81123222412563
65,0,0,57.18498501915348
66,0,1,50.68268458957997
67,0,0,47.68469262314389
68,0,1,49.75659144563528
69,0,1,55.18005020834069
70,0,1,44.67274473139081
71,0,1,54.540862023567456
72,0,1,52.552515608740535
73,0,1,52.12372656546737
74,0,0,51.811619718483186
75,0,0,44.10736360909937
76,0,0,49.860473432613546
77,0,0,63.33864389631346
78,0,0,54.22870194170697
79,0,1,50.76528361276157
80,0,0,42.120341864436746
81,0,0,49.118967856692905
82,0,0,44.509152888799484
83,0,1,47.63015597162497
84,0,1,54.32374026237329
85,0,1,44.905962652356834
86,0,0,43.39947147344464
87,0,1,51.42049757648784
88,0,1,41.252996326082105
89,0,0,57.51005908363916
90,0,1,52.95505944916123
91,0,0,40.63831612622671
92,0,1,40.61792549901731
93,0,1,58.066165572517434
94,0,1,49.962971766161935
95,0,1,40.90299567333683
