customer_id,store_id,treatment,baseline_spend,purchase_amount
0,33,0,146.14763436158148,136.9458676377032
1,10,1,114.2976030218266,89.65352936833358
2,4,0,99.95262058908575,111.02885162672263
3,11,0,104.18606959650891,132.61813474220688
4,16,1,0.0,49.35565682969161
5,32,1,110.07097055615198,71.05838915993428
6,18,1,44.51014724940664,111.24640211068511
7,3,1,75.76752171742515,123.43375889325175
8,13,1,121.47021708383936,97.58485037916205
9,24,1,112.1990715294732,124.93689357229083
10,32,1,40.20950548768888,100.30580633621811
11,29,1,115.98611457193141,162.86214817149056
12,39,0,122.71977357369967,21.754286870391823
13,7,0,106.10090084956079,92.81893750718949
14,35,1,120.75346260830392,207.69007993381481
15,2,0,117.15814103831418,90.77444044977467
16,22,0,48.87871376895768,75.37790788112913
17,10,1,93.7032405625423,114.84020913241497
18,8,0,91.0359709154105,110.34845697842646
19,26,0,63.386786940185154,89.55204415062708
20,12,0,98.41271347528533,107.86701243522482
21,22,1,75.33416698529498,89.3540059069513
22,10,0,97.30831321074811,112.66804743620513
23,6,1,73.81649200229243,129.10624996662122
24,29,1,131.22849560095372,134.78792293903675
25,17,0,166.32138264314744,132.5850633122646
26,27,0,82.54323747772335,69.69553020949544
27,26,0,100.93767510789387,108.94740914556775
28,37,0,101.30922517321386,48.67294906025908
29,16,1,113.06843741088339,101.1261784768689
30,8,1,94.50015715429876,106.65691600505065
31,25,0,32.71016010572575,21.94951539709836
32,37,1,110.23679000529351,125.29945930840985
33,38,1,95.71882557790619,55.80237865908568
34,34,1,67.30065907059591,69.31677450256558
35,27,0,93.513700968275,63.257221178192836
36,15,1,84.25140066344422,80.29736434279344
37,15,1,106.56557988235957,94.70663246980848
38,1,0,89.85649573526459,118.15022519737457
39,7,0,90.98059953380015,62.46007079705863
40,13,0,102.59201413766708,79.31720577425259
41,13,1,106.74250694571337,129.10825366790877
42,23,0,99.83095803579151,70.3686021308296
43,20,1,134.56496838876873,95.6178177909007
44,27,0,106.64467590039493,109.90551148809352
45,35,1,76.21742232478971,124.56551375415373
46,35,0,151.2801278659116,152.5204613117077
47,31,0,102.93644123285954,42.45937216873517
48,39,0,146.39500385510922,129.4044117787126
49,12,1,67.36386369220567,86.5058589045374
50,36,0,116.26986692384074,183.88399224773406
51,36,1,151.09055360267402,137.9718282645703
52,8,1,137.57003387401062,115.798857774754
53,18,0,102.11162817419775,154.6459740023673
54,22,1,81.7395771879676,88.69732973538228
55,27,1,81.18475357330273,146.15340832766776
56,28,1,93.7691478804175,155.87031866949866
57,4,0,70.13290287331472,76.98035325167592
58,19,0,76.88137850287256,90.95599034253486
59,4,1,69.40093885054421,114.06968834992821
60,38,0,69.24637570966186,151.93377671618083
61,8,0,106.45193063102266,112.18610109965778
62,17,1,46.17989975557666,83.9224346877859
