customer_id,region
1,East
2,Midwest
3,Midwest
4,East
5,South
6,East
7,Midwest
8,East
9,East
10,South
11,West
12,Midwest
13,East
14,Midwest
15,South
16,East
17,Midwest
18,Midwest
19,East
20,West
21,Midwest
22,West
23,South
24,South
25,South
26,West
27,South
28,South
29,Midwest
30,South
31,South
32,South
33,West
34,West
35,East
36,West
37,Midwest
38,South
39,Midwest
40,East
41,Midwest
42,Midwest
43,South
44,West
45,South
46,West
47,Midwest
48,East
49,South
50,South
51,West
52,Midwest
53,West
54,West
55,East
56,South
57,West
58,West
59,South
60,East
61,West
62,Midwest
63,East
64,East
65,East
66,East
67,South
68,South
69,East
70,East
71,Midwest
72,Midwest
73,Midwest
74,South
75,West
76,East
77,South
78,South
79,East
80,East
81,South
82,East
83,East
84,South
85,East
86,West
87,Midwest
88,South
89,South
90,South
91,South
92,South
93,East
94,West
95,Midwest
96,West
97,Midwest
98,South
99,East
100,East
101,Midwest
102,West
103,South
104,Midwest
105,West
106,South
107,South
108,South
109,East
110,West
111,East
112,East
113,South
114,South
115,East
116,West
117,West
118,East
119,Midwest
120,East
121,West
122,East
123,West
124,Midwest
125,West
126,South
127,Midwest
128,Midwest
129,South
130,Midwest
131,East
132,Midwest
133,West
134,West
135,East
136,East
137,Midwest
138,South
139,West
140,South
141,West
142,South
143,South
144,Midwest
145,East
146,South
147,West
148,Midwest
149,South
150,East
151,East
152,Midwest
153,West
154,West
155,East
156,Midwest
157,Midwest
158,East
159,West
160,South
161,West
162,South
163,West
164,South
165,East
166,South
167,West
168,West
169,Midwest
170,Midwest
171,East
172,South
173,East
174,South
175,West
176,East
177,South
178,East
179,Midwest
180,Midwest
181,East
182,West
183,South
184,South
185,East
186,South
187,West
188,East
189,Midwest
190,South
191,Midwest
192,West
193,East
194,West
195,South
196,Midwest
197,South
198,South
199,West
200,West
201,Midwest
202,South
203,Midwest
204,East
205,Midwest
206,West
207,South
208,East
209,Midwest
210,West
211,Midwest
212,South
213,South
214,East
215,South
216,Midwest
217,Midwest
218,East
219,Midwest
220,West
221,East
222,Midwest
223,West
224,South
225,East
226,West
227,South
228,South
229,East
230,West
231,West
232,Midwest
233,West
234,West
235,South
236,South
237,South
238,Midwest
239,West
240,South
241,East
242,Midwest
243,East
244,East
245,South
246,East
247,East
248,South
249,East
250,South
251,South
252,South
253,East
254,South
255,West
256,West
257,West
258,West
259,Midwest
260,Midwest
261,East
262,West
263,East
264,Midwest
265,South
266,South
267,West
268,East
269,East
270,Midwest
271,East
272,West
273,South
274,South
275,Midwest
276,South
277,South
278,South
279,East
280,East
281,East
282,East
283,East
284,West
285,West
286,South
287,South
288,South
289,Midwest
290,Midwest
291,East
292,South
293,East
294,West
295,West
296,South
297,Midwest
298,West
299,East
300,Midwest
